Perturbability,Row
1,agg_count
1,delta_delta_delta_from_previous_request
1,delta_delta_from_previous_request
1,delta_from_previous_request
1,delta_from_start
1,effective_peak_duration
0,index
0,minimal_bit_rate
1,non_request_data
0,peak_duration
0,peak_duration_sum
0,previous_previous_previous_previous_total_sum_of_data_to_sec
0,previous_previous_previous_total_sum_of_data_to_sec
0,previous_previous_total_sum_of_data_to_sec
0,previous_total_sum_of_data_to_sec
1,sum_of_data
1,total_sum_of_data
1,total_sum_of_data_to_sec
1,serv_label
1,start_of_peak_date
1,start_of_peak_time
1,end_of_peak_date
1,end_of_peak_time
